h1first,h1second,h2first,h2second
134,62.6,111,62.6
106,62.5,88.6,62.2
126,62.3,117,62.6
113,62.6,100,61.9
101,62.6,98,62.5
96.4,62.8,80.2,62.4
127,62.5,113,62.7
109,62.9,81.7,62.2
94.8,62.7,84.2,62.6
91.3,62.8,116,62.6
97.5,62.8,81.5,62.3
117,62.7,90.9,62.3
90.6,62.4,85.4,62.1
106,62.5,86.7,62.5
129,62.5,79.3,62.6
119,64.1,120,62.6
96,63,78.1,62.6
96.8,61.4,87.9,62.7
126,62.4,96.6,62.3
125,62.4,72.2,62.3
128,62.8,71.1,62.7
118,62.9,114,62.6
122,68.5,79.1,62.5
121,62.8,74.4,62.4
139,62.3,85,62
85.5,62.3,77.4,62.7
99.4,62.3,75.6,62.3
128,62.9,93.4,62.1
99.6,62.3,74.4,62.5
137,62.3,106,62.4
128,62,103,62.9
128,62.7,105,62.3
121,62.2,71.3,69.2
139,61.8,102,66.6
123,62,111,61.4
102,62.4,89.4,62.5
136,62.2,80.3,62.4
114,62.5,103,63.1
130,62.7,80.1,62.8
107,61.9,96.1,62.5
114,61.5,77.9,62.3
125,62.5,88.1,62.3
93.4,62.7,81.7,63.7
135,62.5,98.3,62
133,62.9,82,62.9
114,62.4,90.5,62.6
109,62,89.1,62.5
114,62.5,100,65.7
99.7,70.1,75.9,62.7
94.2,61.6,105,72.6
130,61.6,79.5,62.2
134,62.6,80.2,63.5
130,62.5,81.3,62
134,62.7,73.6,62.5
98.5,67.0,101,61.6
96.3,62.2,85.6,69.8
137,61.8,119,62.3
93.3,62.7,105,61.7
91.6,62.6,79.0,62.5
137,62.2,72.5,62.2
104,62.7,105,62.2
114,63.4,93.3,62.6
110,62.2,90.0,62.3
117,61.5,88.8,62.4
120,62.4,83.9,61.6
115,62.6,99.8,62.6
102,62.6,96.2,62.0
107,62.8,117,62.2
119,62.0,81.3,62.6
162,62.6,76.2,62.0
92.4,62.5,87.1,68.1
96.7,62.6,90.8,62.4
94.1,66.4,85.9,62.6
92,62.6,104,61.8
98.4,62.1,90,62
107,62.2,107,66.4
108,62.6,83.9,62.7
113,62.8,112,62.4
107,62.6,75,62.6
140,62.1,123,62.7
