h1first,h1second,h2first,h2second
103,62.8,134,62.7
94.7,62.8,102,62.8
134,63.3,97.8,61.9
94.9,62.9,92,67.3
104,62.7,119,62.3
114,62.7,106,62.3
109,62.8,94.1,62.5
141,62.6,142,62.8
108,62.5,98.9,62.7
139,63,96,69.2
119,62.8,112,61.6
134,62.8,139,62.4
97.5,62.3,117,62
131,62.5,102,62.7
128,62.6,116,62.6
115,62.8,103,62.5
131,62.7,131,61.9
140,62.3,123,62.3
130,61.9,127,62.4
128,62.5,134,62.3
109,62.9,106,62.8
136,62.5,99.4,63.1
124,62.5,100,62.3
112,62.4,136,61.7
142,62.4,112,62.6
113,62.2,135,62.4
129,68.1,120,62.6
103,62.6,133,62.4
133,62.3,103,62.3
92.5,62.2,100,62.2
111,67.3,107,71.4
104,62.5,118,62.4
121,66.5,137,62.5
136,62,126,62.5
118,62.3,109,62.6
98.8,64.2,122,62.1
109,62.8,144,62.4
134,62.7,95,66.2
99.4,65.3,120,62.5
123,62.7,136,64.8
140,62.8,94.8,62.5
102,62.7,90,62.3
109,62.5,117,64.5
144,62.6,100,62.8
144,65.2,105,62.0
93.6,62.6,125,62.3
120,62.5,135,62.6
111,62.1,146,62.1
139,62.5,124,62.8
138,62.3,140,62.5
143,62.6,112,62.4
107,64.8,97.9,62.7
103,62.2,101,62.6
130,66.5,93.4,61.8
120,62.3,106,62.2
135,66.2,133,62.9
102,61.8,143,62.8
111,62.2,103,62.6
109,62.7,141,69.2
108,62.5,99.7,62.5
135,62.3,95.8,62.1
94.5,62.2,126,62.5
99.0,62.7,130,61.7
132,62.8,113,62.3
100,62.7,128,62.5
110,62.5,113,62.6
140,62.6,115,61.5
117,62.1,100,62.2
116,62.4,105,62.4
142,62.1,93.3,62.6
135,62.0,115,62.5
141,62.5,90.6,62.9
140,62.4,100,63.1
134,62.4,108,62
132,62.5,91.9,62.5
109,62.9,140,62.7
104,62.4,102,61.5
115,62.3,102,62.5
114,62.8,111,62.5
122,62.4,105,62.6
